POI ID,대명칭,중명칭,위도,경도,위도,,,,,,,,,,,,,,,,,,,X (N),Y (E),,가좌역,연남동,동교어린이공원,연트럴파크,홍대입구역 6번출구,참새방앗간 ,서강대역,서강대총동창회관,광성벤처프라자,공덕 파크자이,공덕역,브라운스톤 공덕,효창 푸르지오,효창공원역,,제한거리
102433,대우유토피아,개방,37.51545531,127.1076155,37.51545531,,,,,,,,,,,,,,,,,,,446230.6671,209512.8492,,17749.426,17299.33678,17003.60015,16707.90765,16454.40622,16132.5652,15732.86601,15384.73619,14825.51259,14436.1775,14161.44819,13779.9103,13505.7366,13211.63365,,
102522,마포원조개방화장실,개방,37.5408383,126.941816,37.5408383,,,,,,,,,,,,,,,,,,,449043.7122,194858.4727,,3627.370766,3069.73609,2679.292148,2307.154404,2087.46574,1780.257885,1332.163032,1011.485842,577.4113685,705.2470309,888.0062237,1181.546693,1425.635505,1717.033981,,
102523,입석빌딩개방화장실,개방,37.5614887,126.915593,37.5614887,,,,,,,,,,,,,,,,,,,451337.1711,192543.2903,,658.2773043,529.7004552,719.915316,1028.171505,1283.743534,1619.171092,2066.257833,2443.333445,3077.905275,3459.418971,3733.695944,4141.953006,4444.755687,4723.274013,,
102524,청기와예식장개방화장실,개방,37.55707721,126.9185574,37.55707721,,,,,,,,,,,,,,,,,,,450847.3692,192804.7481,,1127.947337,710.8988554,555.5808985,661.9738603,897.6605708,1203.702546,1611.501801,1978.18797,2596.041321,2984.529184,3262.079047,3668.602952,3968.869746,4253.120769,,
102443,롯데리아,개방,37.55301162,127.1438157,37.55301162,,,,,,,,,,,,,,,,,,,450402.7879,212706.4534,,20050.33305,19696.78606,19475.40392,19246.68979,19010.31121,18726.18802,18403.74981,18107.78279,17654.82207,17294.12661,17043.34134,16718.27892,16492.8435,16214.05011,,
102444,아시아선수촌 B동상가,개방,37.50859645,127.0768984,37.50859645,,,,,,,,,,,,,,,,,,,445466.8397,206798.1822,,15510.60075,15028.87114,14708.09435,14390.59761,14134.93944,13803.98622,13380.78837,13018.56118,12428.01371,12035.49998,11757.20465,11361.49027,11073.96708,10780.79209,,
102445,보림빌딩,개방,37.56425954,126.9859063,37.56425954,,,,,,,,,,,,,,,,,,,451641.4138,198754.9761,,6046.400752,5715.062679,5527.210385,5343.303341,5127.933683,4887.55407,4662.666281,4456.807745,4221.365517,3977.892676,3829.120388,3710.923871,3671.738451,3538.349581,,
102446,보승빌딩,개방,37.5658747,126.9867879,37.5658747,,,,,,,,,,,,,,,,,,,451820.6471,198832.881,,6117.135825,5799.543944,5622.317308,5448.397065,5237.391182,5004.603637,4792.636372,4596.595622,4378.454093,4143.198394,4000.342559,3890.828125,3857.154959,3727.691417,,
102447,삼구상사(주),개방,37.56385398,126.9808055,37.56385398,,,,,,,,,,,,,,,,,,,451596.486,198304.3672,,5599.352884,5263.704723,5074.434586,4890.91805,4676.285373,4438.112764,4220.069602,4022.509564,3810.45458,3583.681677,3450.189079,3361.586139,3348.454598,3240.724157,,
102503,한국교육학술정보관,개방,37.56422022,127.0046533,37.56422022,,,,,,,,,,,,,,,,,,,451636.967,200411.0682,,7700.740831,7370.781008,7178.64831,6986.105748,6765.655066,6514.065348,6262.232619,6028.648716,5722.498287,5434.167625,5245.455548,5048.809062,4939.56713,4742.230253,,
