업소명,소재지도로명,소재지지번,업태명,주된음식,행정동명
돈까스 브로스,서울특별시 서대문구 명물길 36-3 (창천동외 1필지 (지상1층)),서울특별시 서대문구 창천동  5번지 59호  외 1필지 (지상1층),분식,한식,신촌동
돈까스 브로스,서울특별시 서대문구 명물길 36-3 (창천동외 1필지 (지상1층)),서울특별시 서대문구 창천동  5번지 59호  외 1필지 (지상1층),분식,쌀국수,신촌동
선수사,서울특별시 서대문구 연희로 177 (연희동),서울특별시 서대문구 연희동  78번지 43호  ,일식,회정식,연희동
선수사,서울특별시 서대문구 연희로 177 (연희동),서울특별시 서대문구 연희동  78번지 43호  ,일식,일식,연희동
청송면옥,서울특별시 서대문구 연희맛로 6 (연희동),서울특별시 서대문구 연희동  193번지 6호  ,분식,냉면,연희동
청송면옥,서울특별시 서대문구 연희맛로 6 (연희동),서울특별시 서대문구 연희동  193번지 6호  ,분식,한식,연희동
거북골숯불갈비,서울특별시 서대문구 증가로 215 (북가좌동),서울특별시 서대문구 북가좌동  291번지 4호  ,한식,한식,북가좌제2동
무사시,서울특별시 서대문구 신촌로 125 (창천동),서울특별시 서대문구 창천동  20번지 99호  ,한식,돈까스,신촌동
무사시,서울특별시 서대문구 신촌로 125 (창천동),서울특별시 서대문구 창천동  20번지 99호  ,한식,일식식,신촌동
엄지식당,서울특별시 서대문구 모래내로 376-7 (연희동),서울특별시 서대문구 연희동  171번지 1호  ,한식,갈비탕,연희동
깔레,서울특별시 서대문구 연세로5가길 21 1층 (창천동),서울특별시 서대문구 창천동  57번지 33호  1층,한식,갈비.삼겹살,신촌동
난향,서울특별시 서대문구 신촌로 67 (창천동),서울특별시 서대문구 창천동  72번지 21호  ,중국식,사천자장면,신촌동
난향,서울특별시 서대문구 신촌로 67 (창천동),서울특별시 서대문구 창천동  72번지 21호  ,중국식,중식,신촌동
난향,서울특별시 서대문구 신촌로 67 (창천동),서울특별시 서대문구 창천동  72번지 21호  ,중국식,자장면,신촌동
유성한우촌,서울특별시 서대문구 북아현로 68 (북아현동),서울특별시 서대문구 북아현동  1번지 233호  ,한식,도가니탕,북아현동
유성한우촌,서울특별시 서대문구 북아현로 68 (북아현동),서울특별시 서대문구 북아현동  1번지 233호  ,한식,한식,북아현동
봉추찜닭,서울특별시 서대문구 명물길 27-23 (창천동(지하1층~지상1층)),서울특별시 서대문구 창천동  2번지 32호  (지하1층~지상1층),경양식,찜닭,신촌동
봉추찜닭,서울특별시 서대문구 명물길 27-23 (창천동(지하1층~지상1층)),서울특별시 서대문구 창천동  2번지 32호  (지하1층~지상1층),경양식,한식,신촌동
이코노스시,서울특별시 서대문구 신촌역로 14 (대현동),서울특별시 서대문구 대현동  101번지 5호  ,정종/대포집/소주방,초밥,신촌동
이코노스시,서울특별시 서대문구 신촌역로 14 (대현동),서울특별시 서대문구 대현동  101번지 5호  ,정종/대포집/소주방,일식,신촌동
이코노스시,서울특별시 서대문구 신촌역로 14 (대현동),서울특별시 서대문구 대현동  101번지 5호  ,정종/대포집/소주방,회덮밥,신촌동
한촌설렁탕 북가좌점,서울특별시 서대문구 응암로 67 (북가좌동),서울특별시 서대문구 북가좌동  307번지 1호  ,한식,설렁탕,북가좌제1동
코피티암,서울특별시 서대문구 이화여대길 12 (대현동),서울특별시 서대문구 대현동  54번지 24호  ,경양식,토스트,신촌동
코피티암,서울특별시 서대문구 이화여대길 12 (대현동),서울특별시 서대문구 대현동  54번지 24호  ,경양식,양식,신촌동
구이쟁이꾼,서울특별시 서대문구 명물길 42 1층 (창천동),서울특별시 서대문구 창천동  5번지 48호  1층,경양식,스파게티,신촌동
구이쟁이꾼,서울특별시 서대문구 명물길 42 1층 (창천동),서울특별시 서대문구 창천동  5번지 48호  1층,경양식,스파게티,신촌동
만해,서울특별시 서대문구 연희로 218 (연희동24285558),서울특별시 서대문구 연희동  149번지 3호  24285558,일식,회정식,연희동
만해,서울특별시 서대문구 연희로 218 (연희동24285558),서울특별시 서대문구 연희동  149번지 3호  24285558,일식,일식,연희동
카페블로그 신촌점,서울특별시 서대문구 연세로5나길 8 1~2층 (창천동),서울특별시 서대문구 창천동  57번지 23호  1~2층,한식,갈비.냉면.불고기,신촌동
종가찹쌀순대,서울특별시 서대문구 충정로6길 59 (미근동의주로2 138-1),서울특별시 서대문구 미근동  215번지  의주로2 138-1,기타,돼지갈비,충현동
종가찹쌀순대,서울특별시 서대문구 충정로6길 59 (미근동의주로2 138-1),서울특별시 서대문구 미근동  215번지  의주로2 138-1,기타,한식,충현동
춘향골 남원추어탕,서울특별시 서대문구 연희로 262-17 (홍은동가호),서울특별시 서대문구 홍은동  430번지 11호  가호,한식,추어탕,홍은제2동
장어세상,서울특별시 서대문구 세검정로 11 (홍은동),서울특별시 서대문구 홍은동  48번지 185호  ,한식,생선회,홍은제1동
참이맛감자탕,서울특별시 서대문구 명물길 45-4 (창천동),서울특별시 서대문구 창천동  2번지 26호  ,한식,추어탕,신촌동
마포참숯불갈비,서울특별시 서대문구 응암로 145 (북가좌동40),서울특별시 서대문구 북가좌동  335번지 9호  40,한식,갈비.삼겹살,북가좌제2동
일화성,서울특별시 서대문구 연희로36길 26 (연희동(지하1층)),서울특별시 서대문구 연희동  141번지 34호  (지하1층),중국식,짬봉,연희동
일화성,서울특별시 서대문구 연희로36길 26 (연희동(지하1층)),서울특별시 서대문구 연희동  141번지 34호  (지하1층),중국식,중식,연희동
오계절 남원추어탕,서울특별시 서대문구 연희로 267 1층 (홍은동),서울특별시 서대문구 홍은동  274번지 20호  1층,한식,추어탕,홍은제2동
동해별관,서울특별시 서대문구 통일로9길 12 1층 (냉천동),서울특별시 서대문구 냉천동  20번지 1호  1층,한식,해물찜. 해산물요리,천연동
백련가,서울특별시 서대문구 통일로9길 12 1층 (냉천동),서울특별시 서대문구 냉천동  20번지 1호  1층,한식,해물찜. 해산물요리,천연동
백년가,서울특별시 서대문구 통일로9길 12 1층 (냉천동),서울특별시 서대문구 냉천동  20번지 1호  1층,한식,해물찜. 해산물요리,천연동
동해별관,서울특별시 서대문구 통일로9길 12 1층 (냉천동),서울특별시 서대문구 냉천동  20번지 1호  1층,한식,해물찜. 해산물요리,천연동
