POI ID,대명칭,중명칭,위도,경도
A00103,봉원공중화장실,공중,37.57072239,126.9461831
A00138,광진구청,공공청사,37.5379957,127.0827139
A00139,무궁화공중화장실,공중,37.5451975,126.8511959
A00140,자양2동주민센터,공공청사,37.5288319,127.0843684
A00141,꿈돌이공중화장실,공중,37.54554258,126.8463139
A00142,자양4동주민센터,공공청사,37.53415601,127.0661732
A00143,이수공중화장실,공중,37.54828685,126.8743771
A00162,구의1동사무소,공공청사,37.54254938,127.0856855
A00163,구암공중화장실,공중,37.56778942,126.8526764
A00070,좌월공중화장실,공중,37.61732308,126.9133169
A00072,방화2종합사회복지관,공공청사,37.57490641,126.8196056
A00073,구산공중화장실,공중,37.60884725,126.9067437
A00025,방화119안전센터,공공청사,37.57981756,126.8142929
A00187,장미공중화장실,공중,37.55670342,126.8138502
A00188,구로4동주민센터,공공청사,37.48567697,126.8866003
A00189,쌈지공중화장실,공중,37.57118828,126.8149751
A00190,고척2동주민센터,공공청사,37.50669244,126.8586696
A00110,성현동주민센터,공공청사,37.48960091,126.9481188
A00111,홍제2공중화장실,공중,37.59285869,126.9548512
A00112,서원동주민센터,공공청사,37.47979684,126.9313494
A00113,남가좌1공중화장실,공중,37.57287692,126.9182624
A00114,은천동주민센터,공공청사,37.48590045,126.9408467
A00115,남가좌2공중화장실,공중,37.57068761,126.9165412
A00026,달빛공중화장실,공중,37.6632746,127.059867
A00027,화곡119안전센터,공공청사,37.5437052,126.8452413
A00013,강서구민회관,공공청사,37.55348297,126.8436456
A00014,두루미공중화장실,공중,37.66574257,127.0532382
A00015,강서구청,공공청사,37.55107627,126.8495442
A00059,가양5종합사회복지관,공공청사,37.56433459,126.8533807
A00060,불광시범공중화장실,공중,37.62312604,126.9360221
A00061,가양7종합사회복지관,공공청사,37.56135186,126.8624509
A00062,새장골공중화장실,공중,37.62533906,126.9262584
A00063,등촌종합사회복지관,공공청사,37.56406107,126.8422221
A00178,구로5동주민센터,공공청사,37.50015787,126.8893405
A00179,무지개공중화장실,공중,37.56495522,126.8518519
A00180,개봉동주민센터,공공청사,37.50224046,126.8471344
A00191,거리공원등기소앞화장실,공중,37.50102652,126.8904376
A00192,개봉2동주민센터,공공청사,37.49086806,126.8565277
A00193,구로3동동산빌라앞화장실,공중,37.48632612,126.8885918
A00128,행운동제1공영주차장,공공청사,37.47988624,126.9605956
A00004,공항지구대,공공청사,37.56239307,126.8083353
A00005,감나무공중화장실,공중,37.64924942,127.0586622
A00006,곰달래지구대,공공청사,37.53296075,126.8631532
A00064,길마공중화장실,공중,37.61473678,126.9158617
A00065,등촌4종합사회복지관,공공청사,37.56085514,126.8437471
A00066,서갈현공중화장실,공중,37.62150249,126.9157811
A00067,등촌7종합사회복지관,공공청사,37.560328,126.8506905
A00068,박석공중화장실,공중,37.62516069,126.9186069
A00069,방화11종합사회복지관,공공청사,37.56949215,126.8059718
A00019,강서보건소,공공청사,37.54974584,126.8682298
A00020,개나리공중화장실,공중,37.66927454,127.0583338
A00021,발산119안전센터,공공청사,37.55530732,126.8368541
A00153,중곡2동사무소,공공청사,37.56032926,127.0814919
A00154,등촌공중화장실,공중,37.56342476,126.8417797
A00155,중곡3동사무소,공공청사,37.56886548,127.080131
A00156,서낭당공중화장실,공중,37.55858985,126.8500371
A00157,중곡4동사무소,공공청사,37.56537179,127.0872741
A00158,우장1공중화장실,공중,37.5504013,126.8435735
A00159,능동사무소,공공청사,37.55381135,127.0805162
A00160,우장2공중화장실,공중,37.5504013,126.8435735
A00101,대현공중화장실,공중,37.5578381,126.9437264
A00123,신월공원화장실,공중,37.51802492,126.8338428
A00124,관악문화관도서관,공공청사,37.46801374,126.9449171
A00125,독서공원화장실,공중,37.519748,126.8349156
A00126,보라매제1공영주차장,공공청사,37.48868557,126.9344494
A00127,오솔길공원화장실,공중,37.52111543,126.8365344
A00022,햇빛공중화장실,공중,37.66662832,127.0603299
A00023,강서소방서,공공청사,37.55810183,126.8601937
A00024,종달새공중화장실,공중,37.66800748,127.0620318
A00077,매바위공중화장실,공중,37.59048235,126.9239636
A00078,송정역,공공청사,37.56154103,126.8120902
A00164,군자동사무소,공공청사,37.55518512,127.0759504
A00194,가리봉2동주민센터,공공청사,37.48417301,126.8840168
A00195,삭새어린이공원,공중,37.49637206,126.8250298
A00176,오류1동주민센터,공공청사,37.49709445,126.8450997
A00177,아름공중화장실,공중,37.56868494,126.8487096
A00098,신원동주민센터,공공청사,37.48162969,126.9273643
A00099,현저공중화장실,공중,37.5730089,126.9530963
A00100,낙성대주민센터,공공청사,37.47640418,126.9583592
A00086,난향동주민센터,공공청사,37.46161422,126.9188025
A00087,까치공중화장실,공중,37.57996976,126.9041191
A00088,신시동주민센터,공공청사,37.48546324,126.9180685
A00074,방화6종합사회복지관,공공청사,37.57801594,126.8108963
A00075,대조공중화장실,공중,37.61544041,126.9199412
A00076,개화산역,지하철,37.57231164,126.8061212
A00017,강서도서관,공공청사,37.54802039,126.8600202
A00018,민들레공중화장실,공중,37.66285258,127.0561867
A00003,기린공중화장실,공중,37.65199148,127.0592957
A00001,채송화공중화장실,공중,37.65172097,127.0571617
A00002,방화1치안센터,공공청사,37.57422158,126.8138535
A00028,온곡공중화장실,공중,37.65990114,127.061065
A00030,공항동우체국,공공청사,37.56152359,126.8119534
A00057,가양4종합사회복지관,공공청사,37.56475474,126.8526283
A00058,응암공중화장실,공중,37.60165317,126.9236065
A00119,계남공원A화장실,공중,37.51424265,126.8457851
A00120,삼성동주민센터,공공청사,37.47015514,126.9329721
A00121,계남공원B화장실,공중,37.51067945,126.8571163
A00122,난곡동주민센터,공공청사,37.47097279,126.9216623
A00079,포수동공중화장실,공중,37.59813359,126.919437
A00080,강서구민올림픽체육센터,공공청사,37.55981653,126.8506116
A00081,참다래공중화장실,공중,37.59540047,126.9173801
A00082,마곡배드민턴장,개방,37.57352436,126.832546
A00083,연서공중화장실,공중,37.60406226,126.9167863
A00084,마곡레포츠센터,개방,37.57323081,126.8320825
A00085,역마을공중화장실,공중,37.60112462,126.9185039
A00132,신사동 공영주차장,공공청사,37.48442563,126.9154642
A00133,칼산교통공원화장실,공중,37.51009106,126.8706024
A00007,사랑공중화장실,공중,37.64713321,127.0602438
A00008,화곡지구대,공공청사,37.55169437,126.8500159
A00009,산철쭉공중화장실,공중,37.67033631,127.0555516
A00051,유광사산부인과병원,개방,37.54370965,126.8388062
A00052,불암산관리사무실화장실,공중,37.66258368,127.0832742
A00129,한울공원화장실,공중,37.51990767,126.8325754
A00130,신림3동공영주차장,공공청사,37.47229368,126.9231905
A00131,양지공원화장실,공중,37.52220372,126.830984
A00169,백석공중화장실,공중,37.54189045,126.8553426
A00170,광진구우체국,공공청사,37.53783826,127.0906675
A00171,까치산공중화장실,공중,37.53675213,126.8440768
A00135,신정6동트레일러형화장실,공중,37.51154679,126.8724124
A00054,더와이즈황병원,개방,37.54217128,126.8429748
A00055,새록공중화장실,공중,37.60399795,126.9237022
A00105,대학동주민센터,공공청사,37.47062784,126.9370164
A00106,연희동공중화장실,공중,37.56783782,126.9186952
A00107,중앙동주민센터,공공청사,37.48424708,126.9497412
A00108,홍제1공중화장실,공중,37.58765527,126.9554558
A00016,참새공중화장실,공중,37.66608534,127.054735
A00116,청룡동주민센터,공공청사,37.47918647,126.9416662
A00117,동교1공중화장실,공중,37.55720051,126.9260339
A00118,서림동주민센터,공공청사,37.47507435,126.934965
A01357,송파주유소화장실,개방,37.4936775,127.1443469
A01379,남성주유소화장실,개방,37.51254497,127.1140121
A00540,불암산공중화장실,공중,37.66197031,127.0794692
A00541,잠실4동주민센터,공공청사,37.52016036,127.1122491
A00542,노해공중화장실,공중,37.64867101,127.0711077
A00550,한글비공중화장실,공중,37.6449368,127.0737283
A00446,중화리공중화장실,공중,37.604121,127.0805124
A00456,안암동공중화장실,공중,37.58530928,127.0215707
A00457,양재1동우면주민센터,공공청사,37.47167439,127.0267093
A00458,북선공중화장실,공중,37.59635012,127.0285802
A00459,서초3동주민센터,공공청사,37.48362771,127.0125129
A00460,장위3동공중화장실,공중,37.62085964,127.0524367
A00461,방배2동주민센터,공공청사,37.4797582,126.9855575
A00451,잠원동주민센터/반포지구대관제센터,공공청사,37.51492907,127.0140591
A00452,신내공원화장실,공중,37.6137871,127.0891913
A00407,장독골공원화장실,공중,37.53578103,127.0777057
A00408,마포소방서,공공청사,37.54950578,126.9331782
A00547,잠실6동주민센터,공공청사,37.51811913,127.1006628
A00548,등나무공중화장실,공중,37.64012079,127.0671196
A00410,염리파출소,공공청사,37.54179906,126.9456356
A00411,한아름공원화장실,공중,37.54155217,127.0696986
A00532,발바닥공원화장실,공중,37.65978306,127.0311865
A00238,상계34동주민센터,공공청사,37.67298395,127.0832914
A00239,구기동공중화장실,공중,37.60959043,126.9564205
A00240,상계8동주민센터,공공청사,37.66680232,127.0515706
A00241,창신동공중화장실,공중,37.57842556,127.0125542
A00486,솔샘어린이공원화장실,공중,37.61815233,127.0270601
A00487,옥수동주민센터,공공청사,37.5437467,127.0134607
A00496,벌리어린이공원화장실,공중,37.62757956,127.0444453
A00497,용답동주민센,공공청사,37.56408736,127.0555733
A00498,오현어린이공원화장실,공중,37.62373956,127.0464875
A00549,오륜동주민센터,공공청사,37.51545068,127.1342962
A00534,장위3동주민센터,공공청사,37.61659914,127.0566219
A00522,은행나무공원화장실,공중,37.64964952,127.0437917
A00523,돈암1동주민센터,공공청사,37.60342801,127.0263999
A00524,뱃골공원화장실,공중,37.64658205,127.0450197
A00537,노원골공중화장실,공중,37.67471204,127.0620735
A00440,양지공중화장실,공중,37.5903468,127.0891377
A00441,서초4동주민센터,공공청사,37.49592026,127.0153542
A00442,봉화공중화장실,공중,37.59815927,127.0774472
A00462,상월곡동공중화장실,공중,37.61043892,127.0452355
A00463,방배3동주민센터,공공청사,37.4803704,126.9990533
A00205,구로1치안센터,공공청사,37.49117468,126.8751806
A00206,계남근린공원입구화장실,공중,37.50749168,126.8543519
A00208,고척근린공원소공원화장실,공중,37.50344743,126.8525501
A00453,서초1동주민센터,공공청사,37.48881439,127.0190496
A00418,홍제제2동주민센터,공공청사,37.58609019,126.9494006
A00419,중랑천제방2화장실,공중,37.5679182,127.0782609
A00420,신촌동주민센터,공공청사,37.55955452,126.9434999
A00421,평강공원화장실,공중,37.54807013,127.1006935
A00428,긴고랑어린이공원화장실,공중,37.55890842,127.0910671
A00429,연회동주민센터,공공청사,37.57393264,126.9352923
A00430,전농2공중화장실,공중,37.58287744,127.050621
A00482,한빛어린이공원화장실,공중,37.62772895,127.0228908
A00483,왕십리제2동주민센터,공공청사,37.56108729,127.0305218
A00492,버드나무어린이공원화장실,공중,37.6340597,127.0343037
A00089,체육광장공중화장실,공중,37.58437441,126.9030349
A00090,남현동주민센터,공공청사,37.47470999,126.9778359
A00091,새락골공원화장실,공중,37.5989763,126.9112122
A00488,번남어린이공원화장실,공중,37.6357842,127.0249482
A00489,송정동주민센터,공공청사,37.55452123,127.0695676
A00454,봉수대공원화장실,공중,37.60664047,127.0915329
A00425,남가좌제2동주민센터,공공청사,37.57841112,126.9238966
A00490,샛강어린이공원화장실,공중,37.63934738,127.0329993
A00491,마장동주민센터,공공청사,37.56630316,127.0454648
A00470,꿈나라어린이공원화장실,공중,37.58006665,127.0230546
A00471,양재1동주민센터,공공청사,37.48449335,127.0360974
A00531,석관동주민센터,공공청사,37.61298082,127.0614173
A00552,풍납1동주민센터,공공청사,37.53807181,127.1220894
A00553,충숙공중화장실,공중,37.64033527,127.0776372
A00539,장위2동주민센터,공공청사,37.61239362,127.0545501
A00396,상암동주민센터,공공청사,37.57833783,126.8947559
A00397,목련공원화장실,공중,37.54061263,127.0905388
A00409,금모래공원화장실,공중,37.53020325,127.0824409
A00535,월천근린공원화장실,공중,37.64757383,127.050902
A00242,상계67동주민센터,공공청사,37.65491935,127.066999
A00243,창경궁공중화장실,공중,37.57992921,126.9968089
A00536,종암1동주민센터,공공청사,37.60006421,127.0315065
A00500,금호1가동주민센터,공공청사,37.55487493,127.0216718
A00464,성북2동공중화장실,공중,37.59625163,126.9938352
A00465,방배1동주민센터,공공청사,37.4833481,126.9944947
A00472,삼선어린이공원화장실,공중,37.58236297,127.0090132
A00473,응봉동주민센터,공공청사,37.55314603,127.0334214
A00525,정릉2동주민센터,공공청사,37.60445041,127.0111848
A00526,창골공원화장실,공중,37.64308573,127.0486333
A00527,성북동주민센터,공공청사,37.59103856,127.0032649
A00545,장지동주민센터,공공청사,37.48697731,127.1324088
A00546,중계공중화장실,공중,37.63970131,127.0657916
A00484,응달어린이공원화장실,공중,37.61821628,127.0243007
A00485,행당제1동주민센터,공공청사,37.55846882,127.036171
A00493,성수2가제3동주민센터,공공청사,37.5482078,127.0553392
A00494,벌말어린이공원화장실,공중,37.62971654,127.0398433
A00495,성수1가제2동주민센터,공공청사,37.54631685,127.0443838
A00328,휘경1동주민센터,공공청사,37.59004792,127.0595918
A00467,이수지구대/방배본동주민센터,공공청사,37.4941072,126.9888342
A00342,성삼공원공중화장실,공중,37.54206444,127.0602051
A00343,회기동주민센터,공공청사,37.59083478,127.055406
A00404,합정동주민센터,공공청사,37.54952055,126.9057197
A00405,언덕배기공원화장실,공중,37.53202081,127.0878849
A00406,마포구청,공공청사,37.56352708,126.9085394
A00468,북악숲속공중화장실,공중,37.61066008,126.9935398
A00469,서초2동주민센터,공공청사,37.49213153,127.0250676
